feature,precision,recall,f1,category
occupation,0.7611940298507462,0.2383177570093458,0.36298932384341637,Sales
occupation,0.8260869565217391,0.3131868131868132,0.45418326693227096,Prof-specialty
occupation,0.6507936507936508,0.211340206185567,0.3190661478599222,Craft-repair
occupation,0.5625,0.21951219512195122,0.3157894736842105,Protective-serv
occupation,0.6,0.2,0.3,Transport-moving
occupation,0.3,0.3,0.3,Handlers-cleaners
occupation,0.5,0.24242424242424243,0.326530612244898,?
occupation,0.5238095238095238,0.19298245614035087,0.282051282051282,Machine-op-inspct
occupation,1.0,1.0,1.0,Priv-house-serv
occupation,1.0,1.0,1.0,Armed-Forces
relationship,0.5,0.24444444444444444,0.3283582089552239,Unmarried
relationship,0.5204081632653061,0.3,0.3805970149253731,Not-in-family
relationship,0.8198924731182796,0.24776604386677498,0.38053649407361195,Husband
relationship,0.05263157894736842,0.07142857142857142,0.06060606060606061,Own-child
relationship,0.8048780487804879,0.2357142857142857,0.36464088397790057,Wife
relationship,0.75,0.42857142857142855,0.5454545454545454,Other-relative
race,0.7058823529411765,0.2857142857142857,0.4067796610169491,Black
race,0.736,0.25102319236016374,0.3743641912512716,White
race,0.25,0.16666666666666666,0.2,Amer-Indian-Eskimo
race,0.6470588235294118,0.21568627450980393,0.3235294117647059,Asian-Pac-Islander
race,0.0,1.0,0.0,Other
sex,0.7702702702702703,0.24782608695652175,0.375,Male
sex,0.5535714285714286,0.27312775330396477,0.36578171091445427,Female
native-country,0.7287128712871287,0.24983027834351662,0.37209302325581395,United-States
native-country,0.7777777777777778,0.2692307692307692,0.39999999999999997,?
native-country,0.8,0.3333333333333333,0.47058823529411764,Mexico
native-country,1.0,0.4,0.5714285714285715,Philippines
native-country,1.0,1.0,1.0,Dominican-Republic
native-country,0.75,0.5,0.6,India
native-country,1.0,0.0,0.0,El-Salvador
native-country,0.5,0.5,0.5,Puerto-Rico
native-country,1.0,1.0,1.0,Columbia
native-country,1.0,0.3333333333333333,0.5,Taiwan
native-country,0.42857142857142855,0.23076923076923078,0.3,Canada
native-country,1.0,1.0,1.0,Nicaragua
native-country,1.0,0.25,0.4,England
native-country,1.0,0.125,0.2222222222222222,Germany
native-country,1.0,0.0,0.0,Japan
native-country,1.0,0.0,0.0,Jamaica
native-country,1.0,0.6666666666666666,0.8,Greece
native-country,1.0,1.0,1.0,Guatemala
native-country,0.0,1.0,0.0,South
native-country,1.0,0.0,0.0,Hong
native-country,0.0,1.0,0.0,Haiti
native-country,1.0,0.5,0.6666666666666666,Trinadad&Tobago
native-country,1.0,1.0,1.0,Portugal
native-country,0.3333333333333333,0.5,0.4,Vietnam
native-country,1.0,0.0,0.0,Poland
native-country,1.0,0.0,0.0,France
native-country,1.0,1.0,1.0,Scotland
native-country,1.0,1.0,1.0,Honduras
native-country,1.0,0.3333333333333333,0.5,Italy
native-country,0.75,0.42857142857142855,0.5454545454545454,Iran
native-country,1.0,0.2,0.33333333333333337,Cuba
native-country,1.0,0.0,0.0,China
native-country,1.0,1.0,1.0,Thailand
native-country,0.0,0.0,0.0,Cambodia
native-country,1.0,1.0,1.0,Ireland
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
native-country,1.0,0.0,0.0,Ecuador
native-country,1.0,1.0,1.0,Laos
native-country,1.0,1.0,1.0,Peru
native-country,1.0,1.0,1.0,Yugoslavia
native-country,1.0,1.0,1.0,Hungary
